#,Country,Population,Density (P/km2),Land Area (km2),Medium age,Urban population
223,Cook Islands,17564,73,240,N.A.,75 %
224,Anguilla,15003,167,90,N.A.,N.A.
225,Tuvalu,11792,393,30,N.A.,62 %
226,Wallis & Futuna,11239,80,140,N.A.,0 %
227,Nauru,10824,541,20,N.A.,N.A.
228,Saint Barthelemy,9877,470,21,N.A.,0 %
229,Saint Helena,6077,16,390,N.A.,27 %
230,Saint Pierre & Miquelon,5794,25,230,N.A.,100 %
231,Montserrat,4992,50,100,N.A.,10 %
232,Falkland Islands,3480,0,12170,N.A.,66 %
233,Niue,1626,6,260,N.A.,46 %
234,Tokelau,1357,136,10,N.A.,0 %
235,Holy See,801,2003,0,N.A.,N.A.
