,SALE TYPE,PROPERTY TYPE,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,PRICE PER SQFT,HOA PER MONTH,STATUS,SOURCE,MLS,LATITUDE,LONGITUDE,SHAPE
2376,MLS Listing,Single Family Residential,Portland,OR,97206.0,669000.0,4.0,2.5,Portland Southeast,2536.0,4356.0,2018.0,90.0,264.0,0.0,Active,RMLS,18659423,45.48136864585726,-122.62813095414272,"{'spatialReference': {'wkid': 4326}, 'x': -122.62813095414272, 'y': 45.48136864585726}"
2381,MLS Listing,Single Family Residential,Portland,OR,97229.0,669990.0,4.0,2.5,BETHANY CREEK FALLS,2456.0,6969.0,2018.0,11.0,273.0,100.0,Active,RMLS,18384499,45.568411088261335,-122.83293021173866,"{'spatialReference': {'wkid': 4326}, 'x': -122.83293021173866, 'y': 45.568411088261335}"
2387,MLS Listing,Single Family Residential,Milwaukie,OR,97267.0,674900.0,4.0,4.0,"Milwaukie, Gladstone, Happy Valley, Clckmas, Dmscus, Estacada",4100.0,14374.0,2016.0,132.0,165.0,0.0,Active,RMLS,18126242,45.41305654135295,-122.60943985864704,"{'spatialReference': {'wkid': 4326}, 'x': -122.60943985864704, 'y': 45.41305654135295}"
2389,MLS Listing,Single Family Residential,Portland,OR,97229.0,674995.0,4.0,3.5,CEDAR HEIGHTS II,3522.0,6969.0,2018.0,99.0,192.0,40.0,Active,RMLS,18151979,45.55764038207852,-122.76086395141748,"{'spatialReference': {'wkid': 4326}, 'x': -122.76086395141748, 'y': 45.55764038207852}"
2406,MLS Listing,Single Family Residential,Portland,OR,97219.0,679000.0,4.0,3.0,HILLSDALE,2988.0,4791.0,2014.0,21.0,227.0,0.0,Active,RMLS,18323631,45.4771398424822,-122.68816215751782,"{'spatialReference': {'wkid': 4326}, 'x': -122.68816215751782, 'y': 45.4771398424822}"
2411,MLS Listing,Single Family Residential,Portland,OR,97217.0,679900.0,4.0,3.5,Portland North,2325.0,6969.0,2018.0,14.0,292.0,0.0,Active,RMLS,18309110,45.58908516260474,-122.68617443739528,"{'spatialReference': {'wkid': 4326}, 'x': -122.68617443739528, 'y': 45.58908516260474}"
2412,MLS Listing,Single Family Residential,Portland,OR,97217.0,679900.0,3.0,2.5,ARBOR LODGE/OVERLOOK,2149.0,2178.0,2018.0,51.0,316.0,0.0,Active,RMLS,18669250,45.570790286382206,-122.68708531361776,"{'spatialReference': {'wkid': 4326}, 'x': -122.68708531361776, 'y': 45.570790286382206}"
2414,MLS Listing,Single Family Residential,Portland,OR,97203.0,679950.0,4.0,3.5,University Park,2849.0,3484.0,2018.0,27.0,239.0,0.0,Active,RMLS,18020854,45.60825996692679,-122.6904498330732,"{'spatialReference': {'wkid': 4326}, 'x': -122.6904498330732, 'y': 45.60825996692679}"
2415,MLS Listing,Single Family Residential,Portland,OR,97229.0,679995.0,5.0,3.5,GRACE HOLLOW II AT ABBEY CREEK,3048.0,6969.0,2018.0,38.0,223.0,74.0,Active,RMLS,18412385,45.5510709958608,-122.7674333376352,"{'spatialReference': {'wkid': 4326}, 'x': -122.7674333376352, 'y': 45.5510709958608}"
2418,MLS Listing,Single Family Residential,Portland,OR,97229.0,684995.0,5.0,4.0,CEDAR HEIGHTS II,3643.0,6969.0,2018.0,99.0,188.0,40.0,Active,RMLS,18590261,45.57384122089475,-122.74466311260124,"{'spatialReference': {'wkid': 4326}, 'x': -122.74466311260124, 'y': 45.57384122089475}"
