,SALE TYPE,PROPERTY TYPE,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,PRICE PER SQFT,HOA PER MONTH,STATUS,SOURCE,MLS,LATITUDE,LONGITUDE
896,MLS Listing,Multi-Family (2-4 Unit),Milwaukie,OR,97222.0,349000.0,4.0,2.0,"Milwaukie, Gladstone, Happy Valley, Clckmas, Dmscus, Estacada",1050.0,6969.0,1942.0,34.0,332.0,0.0,Active,RMLS,18561009,45.46388859684741,-122.5796870031526
897,MLS Listing,Single Family Residential,Portland,OR,97220.0,349000.0,3.0,2.0,Portland Northeast,1700.0,2613.0,1926.0,35.0,205.0,0.0,Active,RMLS,18177986,45.52124282126341,-122.5730022787366
898,MLS Listing,Single Family Residential,Milwaukie,OR,97222.0,349000.0,3.0,2.5,"Milwaukie, Gladstone, Happy Valley, Clckmas, Dmscus, Estacada",1295.0,3049.0,2010.0,14.0,269.0,0.0,Active,RMLS,18453018,45.45806881674168,-122.58067058325832
899,MLS Listing,Single Family Residential,Portland,OR,97213.0,349000.0,2.0,2.0,ROSEWAY,1262.0,4791.0,1914.0,6.0,277.0,0.0,Active,RMLS,18396283,45.54144033504037,-122.59110566495964
900,MLS Listing,Single Family Residential,Portland,OR,97220.0,349000.0,3.0,2.0,Portland Northeast,1508.0,7405.0,1945.0,1.0,231.0,0.0,Active,RMLS,18574735,45.5706732638063,-122.52610333619371
901,MLS Listing,Single Family Residential,Portland,OR,97211.0,349000.0,2.0,1.0,Portland Northeast,2871.0,4791.0,1920.0,6.0,122.0,0.0,Active,RMLS,18490164,45.56847702351009,-122.6286761764899
902,MLS Listing,Single Family Residential,Milwaukie,OR,97267.0,349000.0,3.0,1.0,Webster Acres,1066.0,13068.0,1960.0,10.0,327.0,0.0,Active,RMLS,18495320,45.424850064447,-122.566274835553
903,MLS Listing,Single Family Residential,Portland,OR,97206.0,349000.0,3.0,1.0,BRENTWOOD - DARLINGTON,1762.0,3920.0,1941.0,48.0,198.0,0.0,Active,RMLS,18406075,45.48391362326615,-122.58264477673384
905,MLS Listing,Single Family Residential,Portland,OR,97233.0,349000.0,2.0,1.0,HAZELWOOD,640.0,21780.0,1944.0,90.0,545.0,0.0,Active,RMLS,18530751,45.51136187231087,-122.53051802768914
906,MLS Listing,Single Family Residential,Portland,OR,97203.0,349000.0,2.0,1.0,UNIVERSITY PARK,1203.0,5662.0,1944.0,13.0,290.0,0.0,Active,RMLS,18051595,45.59483770930164,-122.71776419069836
907,MLS Listing,Single Family Residential,Portland,OR,97203.0,349500.0,3.0,2.5,Portland North,1423.0,2613.0,2005.0,9.0,246.0,0.0,Active,RMLS,18663195,45.58212245602368,-122.73049194397628
909,MLS Listing,Single Family Residential,Portland,OR,97206.0,349500.0,3.0,2.0,FOSTER - POWELL,1694.0,3920.0,1909.0,22.0,206.0,0.0,Active,RMLS,18060740,45.48738956420582,-122.6025249357942
910,MLS Listing,Single Family Residential,Portland,OR,97206.0,349900.0,3.0,1.5,MOUNT SCOTT-ARLETA,1799.0,4791.0,1894.0,9.0,194.0,0.0,Active,RMLS,18184011,45.49632957588079,-122.5833163241192
911,MLS Listing,Single Family Residential,Portland,OR,97233.0,349900.0,4.0,2.0,Portland Southeast,1742.0,9583.0,1963.0,15.0,201.0,0.0,Active,RMLS,18336155,45.52000990445936,-122.48342089554065
912,MLS Listing,Single Family Residential,Portland,OR,97233.0,349900.0,3.0,1.5,Portland Southeast,2000.0,10890.0,1956.0,76.0,175.0,0.0,Active,RMLS,18160604,45.51083768581188,-122.5222641141881
913,MLS Listing,Townhouse,Portland,OR,97229.0,349900.0,2.0,2.0,FOREST HEIGHTS/BROWNSTONES,1388.0,6969.0,2002.0,57.0,252.0,328.0,Active,RMLS,18585720,45.55300009847548,-122.7685540015245
914,MLS Listing,Single Family Residential,Portland,OR,97203.0,349900.0,3.0,1.0,MCKENNA PARK,1670.0,5662.0,1943.0,45.0,210.0,0.0,Active,RMLS,18686725,45.59929782348241,-122.7164914765176
915,MLS Listing,Single Family Residential,Portland,OR,97236.0,349900.0,3.0,2.0,"Milwaukie, Gladstone, Happy Valley, Clckmas, Dmscus, Estacada",1262.0,6534.0,2001.0,48.0,277.0,15.0,Active,RMLS,18328024,45.48353343075136,-122.49879356924863
916,MLS Listing,Single Family Residential,Portland,OR,97216.0,349900.0,3.0,1.0,Mill Park,1712.0,8276.0,1960.0,27.0,204.0,0.0,Active,RMLS,18394871,45.53880892302832,-122.51855127697164
917,MLS Listing,Single Family Residential,Portland,OR,97217.0,349900.0,2.0,1.0,Portland North,750.0,3484.0,1926.0,34.0,467.0,0.0,Active,RMLS,18333275,45.60720287138486,-122.64662672861516
918,MLS Listing,Single Family Residential,Portland,OR,97213.0,349900.0,2.0,1.0,ROSEWAY,1426.0,2178.0,1925.0,167.0,245.0,0.0,Active,RMLS,18459514,45.5552152189716,-122.5942626810284
919,MLS Listing,Single Family Residential,Portland,OR,97230.0,349900.0,4.0,1.5,Portland Northeast,2012.0,8712.0,1963.0,1.0,174.0,0.0,Active,RMLS,18675764,45.56991628056809,-122.49758551943192
920,MLS Listing,Townhouse,Portland,OR,97202.0,349900.0,2.0,2.5,CRESTON-KENILWORTH,1113.0,2178.0,1998.0,15.0,314.0,0.0,Active,RMLS,18107269,45.531249974133054,-122.59411502586694
921,MLS Listing,Townhouse,Portland,OR,97216.0,349900.0,3.0,3.0,Portland Southeast,1428.0,6969.0,2016.0,3.0,245.0,42.0,Active,RMLS,18505833,45.543476934515766,-122.54751436548425
923,MLS Listing,Single Family Residential,Portland,OR,97216.0,349900.0,3.0,1.0,MONTAVILLA,1366.0,7840.0,1948.0,61.0,256.0,0.0,Active,RMLS,18154436,45.5109460565253,-122.57108894347468
924,MLS Listing,Condo/Co-op,Portland,OR,97201.0,349900.0,1.0,1.0,Unit 2505,625.0,6969.0,2006.0,66.0,560.0,442.0,Active,RMLS,18144246,45.532142795523214,-122.6684829044768
925,MLS Listing,Single Family Residential,Portland,OR,97230.0,349900.0,3.0,2.0,Kirbys Sub,1090.0,7405.0,1954.0,28.0,321.0,0.0,Active,RMLS,18235663,45.53025120032071,-122.5344470996793
926,MLS Listing,Condo/Co-op,Portland,OR,97209.0,349900.0,1.0,1.0,Portland,711.0,6969.0,2004.0,48.0,492.0,0.0,Active,WVMLS,737462,45.485258693590986,-122.72658240640902
928,MLS Listing,Single Family Residential,Portland,OR,97220.0,349900.0,3.0,2.0,Portland Northeast,1965.0,7840.0,1953.0,63.0,178.0,0.0,Active,RMLS,18033588,45.54678462961349,-122.53536257038652
929,MLS Listing,Single Family Residential,Portland,OR,97206.0,349900.0,2.0,1.0,FOSTER-POWELL NEIGHBORHOOD,996.0,4356.0,1950.0,21.0,351.0,0.0,Active,RMLS,18387724,45.51589530139016,-122.56445509860986
930,MLS Listing,Single Family Residential,Portland,OR,97217.0,349900.0,3.0,1.0,Kenton,960.0,5662.0,1955.0,27.0,364.0,0.0,Active,RMLS,18056984,45.57103472083429,-122.7190297791657
931,MLS Listing,Multi-Family (2-4 Unit),Portland,OR,97233.0,349900.0,3.0,2.0,Portland Southeast,1325.0,6969.0,1930.0,356.0,264.0,0.0,Active,RMLS,17226565,45.49737938884582,-122.52101901115417
932,MLS Listing,Single Family Residential,Gresham,OR,97230.0,349900.0,3.0,2.0,NORTH GRESHAM,1608.0,17424.0,1976.0,7.0,218.0,0.0,Active,RMLS,18556251,45.54473194919413,-122.45390275080588
933,MLS Listing,Single Family Residential,Portland,OR,97220.0,349900.0,3.0,2.5,Portland Northeast,1350.0,8276.0,1999.0,91.0,259.0,0.0,Active,RMLS,18035265,45.55360899527525,-122.53117490472476
934,MLS Listing,Single Family Residential,Portland,OR,97206.0,349950.0,2.0,1.0,Portland Southeast,1146.0,3920.0,1907.0,20.0,305.0,0.0,Active,RMLS,18089462,45.49893789923537,-122.58317370076462
935,MLS Listing,Single Family Residential,Portland,OR,97203.0,349950.0,3.0,2.5,Portland North,1400.0,4356.0,1995.0,298.0,250.0,0.0,Active,RMLS,17048735,45.60972991555302,-122.71785738444696
936,MLS Listing,Condo/Co-op,Portland,OR,97232.0,349950.0,1.0,1.0,SULLIVAN'S GULCH,614.0,6969.0,2019.0,50.0,570.0,327.0,Active,RMLS,18249313,45.56262980680626,-122.61402089319374
937,MLS Listing,Single Family Residential,Portland,OR,97230.0,349950.0,3.0,2.5,Reeds Place,2133.0,3920.0,2006.0,13.0,164.0,0.0,Active,RMLS,18465613,45.53333211486369,-122.45028188513632
938,MLS Listing,Multi-Family (2-4 Unit),Portland,OR,97236.0,349995.0,4.0,2.0,POWELLHURST - GILBERT,1241.0,6969.0,1942.0,13.0,282.0,0.0,Active,RMLS,18138603,45.5020149657426,-122.5301781342574
939,MLS Listing,Single Family Residential,Portland,OR,97202.0,349999.0,3.0,1.0,SELLWOOD /WESTMORELAND,960.0,3920.0,1975.0,33.0,365.0,0.0,Active,RMLS,18164156,45.45527306573904,-122.65053983426095
